pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
11,"埼玉県",22154,"武蔵横手","むさしよこて","",35.885391,139.280710
11,"埼玉県",22155,"武蔵嵐山","むさしらんざん","",36.044374,139.327893
11,"埼玉県",22156,"持田","もちだ","",36.137672,139.441629
11,"埼玉県",22157,"元加治","もとかじ","",35.840535,139.345734
11,"埼玉県",22158,"毛呂","もろ","",35.940413,139.309288
11,"埼玉県",22160,"八木崎","やぎさき","",35.978361,139.741806
11,"埼玉県",22159,"柳生","やぎゅう","",36.206641,139.659553
11,"埼玉県",29400,"八潮","やしお","",35.807798,139.844973
11,"埼玉県",22161,"谷塚","やつか","",35.814157,139.801308
11,"埼玉県",22162,"柳瀬川","やなせがわ","",35.830679,139.562022
11,"埼玉県",23034,"遊園地西","ゆうえんちにし","",35.769378,139.440035
11,"埼玉県",22163,"用土","ようど","",36.153471,139.200871
11,"埼玉県",22164,"横瀬","よこぜ","",35.985544,139.097831
11,"埼玉県",22165,"吉川","よしかわ","",35.876541,139.843442
11,"埼玉県",29697,"吉川美南","よしかわみなみ","",35.868070,139.858163
11,"埼玉県",22166,"吉野原","よしのはら","",35.956917,139.620706
11,"埼玉県",22167,"与野","よの","",35.884314,139.639014
11,"埼玉県",22168,"与野本町","よのほんまち","",35.881147,139.626042
11,"埼玉県",22169,"寄居","よりい","",36.117892,139.194512
11,"埼玉県",22170,"若葉","わかば","",35.949108,139.408752
11,"埼玉県",22171,"和光市","わこうし","",35.788434,139.612354
11,"埼玉県",22172,"鷲宮","わしのみや","",36.096430,139.656947
11,"埼玉県",22173,"和戸","わど","",36.040242,139.700612
11,"埼玉県",22031,"和銅黒谷","わどうくろや","",36.046787,139.101578
11,"埼玉県",22174,"蕨","わらび","",35.828153,139.690457
pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
12,"千葉県",22175,"青堀","あおほり","",35.330405,139.858270
12,"千葉県",22176,"秋山","あきやま","",35.765443,139.931634
12,"千葉県",22177,"旭","あさひ","千葉県",35.721821,140.655131
12,"千葉県",22178,"海鹿島","あしかじま","",35.722186,140.863197
12,"千葉県",22179,"安食","あじき","",35.835690,140.242077
12,"千葉県",22180,"愛宕","あたご","千葉県",35.950144,139.864826
12,"千葉県",22181,"穴川","あながわ","千葉県",35.639514,140.111903
12,"千葉県",22182,"姉ケ崎","あねがさき","",35.478614,140.041749
12,"千葉県",22183,"我孫子","あびこ","",35.872627,140.010789
12,"千葉県",22184,"海士有木","あまありき","",35.481698,140.124325
12,"千葉県",22185,"新木","あらき","千葉県",35.862352,140.106948
12,"千葉県",22186,"安房天津","あわあまつ","",35.125459,140.154505
12,"千葉県",22187,"安房勝山","あわかつやま","",35.113705,139.833339
12,"千葉県",22188,"安房鴨川","あわかもがわ","",35.107571,140.103816
12,"千葉県",22189,"安房小湊","あわこみなと","",35.128571,140.190364
12,"千葉県",22190,"飯岡","いいおか","",35.729321,140.683712
12,"千葉県",22191,"飯倉","いいぐら","",35.685711,140.522422
12,"千葉県",22192,"飯給","いたぶ","",35.320411,140.142498
12,"千葉県",22193,"市川","いちかわ","",35.729279,139.907804
12,"千葉県",22194,"市川大野","いちかわおおの","",35.755138,139.951576
12,"千葉県",22195,"市川塩浜","いちかわしおはま","",35.666565,139.923723
12,"千葉県",22196,"市川真間","いちかわまま","",35.731362,139.911609
12,"千葉県",22197,"稲毛","いなげ","",35.637182,140.092542
12,"千葉県",22198,"稲毛海岸","いなげかいがん","",35.629431,140.073933
12,"千葉県",22199,"犬吠","いぬぼう","",35.706242,140.861004
12,"千葉県",22200,"井野","いの","千葉県",35.732894,140.148617
12,"千葉県",22201,"岩井","いわい","",35.092569,139.849671
12,"千葉県",22202,"巌根","いわね","",35.414286,139.933260
12,"千葉県",29033,"印西牧の原","いんざいまきのはら","",35.803637,140.167001
12,"千葉県",29322,"印旛日本医大","いんばにほんいだい","",35.787390,140.203694
12,"千葉県",22203,"鵜原","うばら","",35.140821,140.278495
12,"千葉県",22204,"馬立","うまたて","",35.423788,140.114634
12,"千葉県",22205,"梅郷","うめさと","",35.931313,139.891268
12,"千葉県",22206,"浦安","うらやす","千葉県",35.665897,139.893031
12,"千葉県",22207,"運河","うんが","",35.914038,139.906129
12,"千葉県",22208,"江戸川台","えどがわだい","",35.897484,139.910352
12,"千葉県",22209,"榎戸","えのきど","千葉県",35.684069,140.288136
12,"千葉県",22210,"江見","えみ","",35.062437,140.061211
12,"千葉県",22211,"大網","おおあみ","",35.522725,140.311085
12,"千葉県",22212,"大佐倉","おおさくら","",35.730118,140.251081
12,"千葉県",22213,"大多喜","おおたき","",35.286499,140.243852
12,"千葉県",22214,"大戸","おおと","",35.890272,140.458390
12,"千葉県",22215,"大貫","おおぬき","",35.290992,139.855634
12,"千葉県",22216,"大原","おおはら","千葉県",35.251062,140.390925
12,"千葉県",22217,"大町","おおまち","千葉県",35.774887,139.972852
12,"千葉県",22218,"大森台","おおもりだい","",35.584133,140.149402
12,"千葉県",22219,"小倉台","おぐらだい","",35.627739,140.171925
12,"千葉県",22220,"鬼越","おにごえ","",35.720003,139.937218
12,"千葉県",22221,"小櫃","おびつ","",35.328352,140.059920
12,"千葉県",22222,"小見川","おみがわ","",35.850111,140.604657
12,"千葉県",29035,"おゆみ野","おゆみの","",35.549997,140.166290
12,"千葉県",22224,"御宿","おんじゅく","",35.188012,140.351986
12,"千葉県",22225,"海神","かいじん","",35.705783,139.972161
12,"千葉県",22226,"海浜幕張","かいひんまくはり","",35.648262,140.041963
12,"千葉県",22227,"笠上黒生","かさがみくろはえ","",35.728352,140.856976
12,"千葉県",22228,"柏","かしわ","",35.862100,139.970932
12,"千葉県",29405,"柏たなか","かしわたなか","",35.910706,139.957597
12,"千葉県",29404,"柏の葉キャンパス","かしわのはきゃんぱす","",35.892930,139.952321
12,"千葉県",22229,"上総東","かずさあずま","",35.263170,140.344734
12,"千葉県",22230,"上総一ノ宮","かずさいちのみや","",35.373659,140.365060
12,"千葉県",22231,"上総牛久","かずさうしく","",35.400208,140.142022
12,"千葉県",22232,"上総大久保","かずさおおくぼ","",35.283359,140.145860
12,"千葉県",22233,"上総興津","かずさおきつ","",35.137210,140.250942
12,"千葉県",22234,"上総亀山","かずさかめやま","",35.233058,140.089840
12,"千葉県",22235,"上総川間","かずさかわま","",35.388014,140.150827
12,"千葉県",22236,"上総清川","かずさきよかわ","",35.390927,139.965565
12,"千葉県",22237,"上総久保","かずさくぼ","",35.367377,140.154412
12,"千葉県",22238,"上総鶴舞","かずさつるまい","",35.381265,140.164966
12,"千葉県",22239,"上総中川","かずさなかがわ","",35.282584,140.280433
12,"千葉県",22240,"上総中野","かずさなかの","",35.250113,140.199579
12,"千葉県",22241,"上総松丘","かずさまつおか","",35.257804,140.064035
12,"千葉県",22242,"上総三又","かずさみつまた","",35.465839,140.126798
12,"千葉県",22243,"上総湊","かずさみなと","",35.222249,139.871330
12,"千葉県",22244,"上総村上","かずさむらかみ","",35.496113,140.100299
12,"千葉県",22245,"上総山田","かずさやまだ","",35.454091,140.126271
12,"千葉県",22246,"勝浦","かつうら","",35.153042,140.312936
12,"千葉県",22247,"勝田台","かつただい","",35.715424,140.126314
12,"千葉県",22248,"香取","かとり","",35.897995,140.531995
12,"千葉県",22249,"鎌ケ谷","かまがや","",35.763721,139.997295
12,"千葉県",22250,"鎌ケ谷大仏","かまがやだいぶつ","",35.757917,140.013822
12,"千葉県",22251,"鎌取","かまとり","",35.562802,140.178484
12,"千葉県",22252,"上本郷","かみほんごう","",35.789523,139.916273
12,"千葉県",22253,"川間","かわま","",35.979168,139.833855
12,"千葉県",22254,"観音","かんのん","",35.728879,140.839837
12,"千葉県",29034,"学園前","がくえんまえ","千葉県",35.560802,140.158457
12,"千葉県",22255,"木下","きおろし","",35.838938,140.148418
12,"千葉県",22256,"木更津","きさらづ","",35.381595,139.926236
12,"千葉県",22257,"北柏","きたかしわ","",35.875598,139.988040
12,"千葉県",22258,"北小金","きたこがね","",35.833408,139.931297
12,"千葉県",22259,"北国分","きたこくぶん","",35.762804,139.914469
12,"千葉県",22260,"北習志野","きたならしの","",35.721394,140.042210
12,"千葉県",22261,"北初富","きたはつとみ","",35.777026,139.991906
12,"千葉県",22262,"北松戸","きたまつど","",35.800550,139.911828
12,"千葉県",22263,"君ケ浜","きみがはま","",35.713964,140.860475
12,"千葉県",22264,"君津","きみつ","",35.333627,139.895185
12,"千葉県",22266,"祇園","ぎおん","千葉県",35.391511,139.948317
12,"千葉県",22265,"行徳","ぎょうとく","",35.682813,139.914750
12,"千葉県",22267,"空港第２ビル","くうこうだいにびる","鉄道",35.773171,140.387123
12,"千葉県",22268,"久我原","くがはら","",35.250114,140.247825
12,"千葉県",22269,"久住","くずみ","",35.832387,140.338930
12,"千葉県",22270,"国吉","くによし","",35.280418,140.313958
12,"千葉県",22271,"くぬぎ山","くぬぎやま","",35.782413,139.975657
12,"千葉県",22272,"倉橋","くらはし","",35.738042,140.714514
12,"千葉県",22273,"久留里","くるり","",35.295829,140.075782
12,"千葉県",22274,"求名","ぐみょう","",35.579832,140.396159
12,"千葉県",22275,"京成稲毛","けいせいいなげ","",35.637764,140.085516
12,"千葉県",22276,"京成臼井","けいせいうすい","",35.729923,140.180753
12,"千葉県",22277,"京成大久保","けいせいおおくぼ","",35.685953,140.048600
12,"千葉県",22278,"京成大和田","けいせいおおわだ","",35.712007,140.108011
12,"千葉県",22279,"京成佐倉","けいせいさくら","",35.725175,140.229722
12,"千葉県",22280,"京成酒々井","けいせいしすい","",35.736896,140.270162
12,"千葉県",22281,"京成千葉","けいせいちば","",35.611684,140.114292
12,"千葉県",22282,"京成津田沼","けいせいつだぬま","",35.683648,140.024463
12,"千葉県",22283,"京成中山","けいせいなかやま","",35.716726,139.944912
12,"千葉県",22284,"京成成田","けいせいなりた","",35.776726,140.315657
12,"千葉県",22285,"京成西船","けいせいにしふな","",35.711532,139.958967
12,"千葉県",22286,"京成船橋","けいせいふなばし","",35.700173,139.985577
12,"千葉県",22287,"京成幕張","けいせいまくはり","",35.660955,140.055683
12,"千葉県",22288,"京成幕張本郷","けいせいまくはりほんごう","",35.672649,140.042101
12,"千葉県",22289,"京成八幡","けいせいやわた","",35.723863,139.928081
12,"千葉県",22290,"検見川","けみがわ","",35.652623,140.066322
12,"千葉県",22291,"検見川浜","けみがわはま","",35.637126,140.059212
12,"千葉県",29264,"県庁前","けんちょうまえ","千葉県",35.603519,140.122181
12,"千葉県",22292,"公園","こうえん","",35.730839,140.153811
12,"千葉県",22293,"公津の杜","こうづのもり","",35.760477,140.295132
12,"千葉県",22294,"国府台","こうのだい","",35.736390,139.902970
12,"千葉県",22295,"光風台","こうふうだい","千葉県",35.439536,140.114106
12,"千葉県",22296,"幸谷","こうや","",35.826547,139.919966
12,"千葉県",22297,"小金城趾","こがねじょうし","",35.835991,139.916992
12,"千葉県",22298,"九重","ここのえ","",34.997635,139.911143
12,"千葉県",22299,"小林","こばやし","千葉県",35.830884,140.192998
12,"千葉県",22300,"湖北","こほく","",35.867240,140.077784
12,"千葉県",22301,"小室","こむろ","",35.786915,140.076148
12,"千葉県",22223,"小谷松","こやまつ","",35.268974,140.251186
12,"千葉県",22302,"五井","ごい","",35.513306,140.089632
12,"千葉県",22303,"五香","ごこう","",35.797385,139.965768
12,"千葉県",29262,"栄町","さかえちょう","千葉県",35.612824,140.118570
12,"千葉県",22304,"逆井","さかさい","",35.823215,139.983905
12,"千葉県",22305,"作草部","さくさべ","",35.625655,140.115292
12,"千葉県",22306,"佐倉","さくら","",35.709703,140.226084
12,"千葉県",22307,"桜木","さくらぎ","千葉県",35.631350,140.161066
12,"千葉県",22308,"笹川","ささがわ","",35.839753,140.655737
12,"千葉県",22309,"里見","さとみ","",35.337215,140.145386
12,"千葉県",22310,"佐貫町","さぬきまち","",35.260578,139.876078
12,"千葉県",22311,"猿田","さるだ","",35.747292,140.737457
12,"千葉県",22312,"佐原","さわら","",35.894549,140.494053
12,"千葉県",22313,"椎柴","しいしば","",35.765319,140.758815
12,"千葉県",22314,"酒々井","しすい","",35.731841,140.275357
12,"千葉県",22315,"志津","しづ","",35.717452,140.145007
12,"千葉県",29437,"芝山千代田","しばやまちよだ","",35.754063,140.399512
12,"千葉県",22316,"清水公園","しみずこうえん","",35.959253,139.860047
12,"千葉県",22317,"下総神崎","しもうさこうざき","",35.894882,140.410560
12,"千葉県",22318,"下総橘","しもうさたちばな","",35.818645,140.702317
12,"千葉県",22319,"下総豊里","しもうさとよさと","",35.793093,140.720706
12,"千葉県",22320,"下総中山","しもうさなかやま","",35.714281,139.943107
12,"千葉県",22321,"下総松崎","しもうさまんざき","",35.807639,140.277936
12,"千葉県",22322,"下郡","しもごおり","",35.355211,140.055475
12,"千葉県",29044,"市役所前","しやくしょまえ","千葉県",35.607269,140.107987
12,"千葉県",22323,"白井","しろい","",35.784692,140.053817
12,"千葉県",29647,"城見ケ丘","しろみがおか","",35.291610,140.252324
12,"千葉県",22324,"新浦安","しんうらやす","",35.649649,139.912918
