station_name,ek
西立川,32529020
青井,76076090
青海,7500230
青山一丁目,7000250
青砥,56300190
青梅,32505340
青梅街道,31505350
青物横丁,9500240
青堀,62500220
青葉台,23000210
石原,49002410
石上,15002130
石神井公園,37018350
石神前,32502140
石川台,20002180
石川町,13002190
赤羽,758500380
赤羽岩淵,64000390
赤羽橋,7050065
赤坂,3000300
赤坂見附,1500320
赤土小学校前,76580815
雪が谷大塚,20040690
仙川,28021360
千歳烏山,28024130
千歳船橋,24024140
千住大橋,55521440
千城台,59524040
千城台北,59524050
千石,6021410
千川,4321350
千駄ヶ谷,57321520
千駄木,3021530
千鳥町,20024160
千葉,59524180
千葉ニュータウン中央,56324230
千葉みなと,59524240
千葉公園,59524190
千葉寺,57024220
千葉中央,57024210
川井,32509830
川越,38509900
川越市,38509910
川角,39009860
川間,49510140
川口,12609870
川口元郷,64053820
川崎,18509920
川崎新町,18509930
川崎大師,10509940
川和町,77080825
扇大橋,76580817
扇町,13505170
泉岳寺,9521340
泉体育館,30002500
浅草,76076085
浅草橋,5500680
浅野,13500730
洗足,20521470
洗足池,20021480
船橋,49534480
船橋競馬場,55534490
船橋日大前,59034500
船橋法典,33534510
船堀,6534520
前原,53535570
善行,25521370
祖師ヶ谷大蔵,24021760
蘇我,62521750
倉橋,58512990
倉見,19513030
早稲田,8541740
早雲山,26282960
早川,16031190
巣鴨,6020550
巣鴨新田,8520560
相原,19000130
相武台下,19521720
相武台前,24521730
相模金子,16515930
相模原,19015960
相模湖,30515940
相模沼田,73563830
相模大塚,17515910
相模大野,25515920
草加,44021610
増尾,49535730
蔵前,7013010
足柄,24553910
足立小台,76580816
袖ヶ浦,62521770
村上,59038960
多摩センター,30023490
多摩境,29023480
多摩湖,31521090
多摩川,21023450
多摩動物公園,30023550
多磨,31023590
多磨霊園,28023640
太東,61021980
代々木,7041280
代々木公園,3041300
代々木上原,24041290
代々木八幡,24041310
代官山,22021850
代田橋,28021960
台場,7522030
大井競馬場前,8005410
大井町,9005480
大磯,758505460
大岡山,21505520
大貫,62506140
大久保,57305600
大宮,42506310
大宮公園,49506330
大原,62006200
大戸,52506060
大口,19005590
大佐倉,55505800
大崎,9005780
大崎広小路,20005790
大山,38506420
大師橋,10516700
大師前,45021910
大手町,6006050
大森,12506360
大森海岸,9506380
大森台,57006390
大森町,9506400
大神宮下,55521940
大泉学園,37005440
大船,14506240
大倉山,22005650
大袋,44006230
大町,56006270
大鳥居,10006110
大塚,506000
大塚・帝京大学,30006010
大塚駅前,8506020
大島,6505850
大麻生,49005370
大網,61505390
大門,7022090
大野原,49006160
大雄山,73563855
大和,17540370
大和田,49506450
鷹の台,32022490
滝不動,53522810
滝野川一丁目,8522780
辰巳,4023180
谷在家,76580821
谷津,55540000
谷塚,44040010
谷保,18540200
丹荘,34023760
淡路町,1501720
男衾,38507170
地下鉄成増,4304760
地下鉄赤塚,4304750
地区センター,54523910
池ノ上,26502030
池上,20001970
池尻大橋,23002000
池袋,38502060
築地,2024620
築地市場,7050060
竹ノ塚,44022940
竹岡,62522840
竹橋,2522950
竹芝,7522890
竹沢,34022870
秩父,49024090
中井,7026830
中浦和,39526900
中延,5527370
中央大学・明星大学,30024320
中央林間,25524340
中河原,28027000
中学校,54524350
中強羅,26283070
中山,77027620
中神,32526970
中川,17026980
中村橋,37027570
中田,17027160
中板橋,38526860
中目黒,22027580
中野,2527280
中野坂上,7027320
中野新橋,1527360
中野島,18527340
中野富士見町,1527380
仲ノ町,71563445
仲御徒町,2026940
仲町台,17027500
彫刻の森,26024400
朝霞,38500620
朝霞台,38500630
潮見,60017090
町屋,55535790
町屋駅前,8535800
町屋二丁目,8535810
町田,24035780
調布,29024440
銚子,71524410
長浦,62526880
長原,20027430
長後,25524390
長者町,61024430
長沼,28027270
長谷,15030550
長津田,19027240
長瀞,49027260
鳥浜,14026750
津久井浜,11524690
津田山,18524790
津田沼,58024780
椎柴,52516950
椎名町,37016970
追浜,9506990
塚原,73563840
塚田,49524560
辻堂,758524740
鶴ヶ島,38524970
鶴ヶ峰,17524980
鶴巻温泉,24525060
鶴間,25525040
鶴見,13525070
鶴見市場,9525080
鶴見小野,13525090
鶴瀬,38525010
鶴川,24024990
程久保,30035160
的場,40036090
鉄道博物館,42506130
天王洲アイル,8025440
天王台,50025450
天王町,17525460
天空橋,8025350
天台,59525400
田浦,12022120
田園調布,20525320
田原町,1023730
田端,12523410
田町,12523500
田奈,23023250
田無,35023300
登戸,24030130
都賀,59524530
都筑ふれあいの丘,77080826
都庁前,7026200
都電雑司ヶ谷,8521650
都立家政,35026720
都立大学,22026730
土気,61026070
土呂,758026770
唐木田,25009710
塔ノ沢,26025750
東あずま,44531570
東浦和,33531670
東雲,9017510
東横田,63532570
東我孫子,52531580
東海神,59031750
東海大学前,24525580
東岩槻,49531640
東久留米,37031890
東宮原,42532460
東京,1525620
東京テレポート,9025630
東京国際クルーズターミナル,7534550
東金,61525610
東銀座,5531870
東戸塚,758032070
東向島,44032480
東行田,49031850
東高円寺,1531910
東山田,77080828
東山北,16532530
東秋留,33031560
東十条,12531960
東所沢,33532060
東小金井,30531920
東松原,26532410
東松戸,56332400
東松山,38532420
東新宿,7050015
東神奈川,19031790
東逗子,12031980
東成田,55732150
東清川,63531860
東青梅,32531680
東千葉,58532030
東川口,64031820
東船橋,57332350
東村山,32032490
東大宮,758031720
東大前,5025730
東大島,6531700
東大和市,35532550
東池袋,4031600
東池袋四丁目,8531610
東中山,55532130
東中神,32532090
東中野,7032110
東長崎,37032100
東日本橋,5532170
東白楽,22032210
東飯能,37032260
東尾久三丁目,8531740
東府中,28032330
東武竹沢,38525820
東武動物公園,47025850
東武練馬,38525870
東伏見,35032310
東福生,34032340
東北沢,24031840
東毛呂,39032500
東門前,10532510
東葉勝田台,59025890
東陽町,2525900
東林間,25532590
東浪見,61026670
東鷲宮,758032600
湯河原,16040680
湯島,3040710
等々力,21526240
藤が丘,23033850
藤の牛島,49533960
藤沢,15033900
藤沢本町,25533910
藤野,30533950
動物公園,59525840
読売ランド前,24041270
那古船形,62527720
内幸町,6004290
内宿,42504300
南阿佐ヶ谷,1537270
南羽生,44037700
南浦和,33537350
南越谷,33537500
南橋本,19537690
南栗橋,47037470
南古谷,40037770
南行徳,2537450
南砂町,2537570
南桜井,49537520
南酒々井,58537540
南新宿,24037560
南千住,76037600
南船橋,60037760
南多摩,18537650
南太田,9537370
南大沢,29037360
南大塚,35037380
南町田グランベリーパーク,23037790
南柏,50037420
南鳩ヶ谷,64053825
南部市場,14028180
南平,28037620
南万騎が原,18037780
南与野,39537840
南流山,76037670
南林間,25537850
二宮,758529690
二子玉川,21534230
二子新地,23034220
二俣新町,60034280
二俣川,18034270
二俣尾,32534260
二和向台,53534300
日の出,7532960
日ノ出町,9532970
日吉,77033150
日吉本町,77080830
日向,58533100
日向和田,32532920
日進,40029600
日比谷,6033040
日暮里,56329650
日本橋,5529710
日本大通り,64554030
日野,30532940
入間市,37003770
入生田,26003710
入曽,35003720
入谷,19503750
乃木坂,3030010
能見台,9529940
波久礼,49030310
馬橋,52036120
